w_text,w_layout,w_pii,recall_at_1,mrr,detection_auc
0.3,0.4,0.3,0.5125,0.5987,0.1516
0.3,0.45,0.25,0.5125,0.5983,0.1514
0.3,0.5,0.2,0.5125,0.5993,0.1512
0.3,0.55,0.15,0.5125,0.5989,0.1841
0.3,0.6,0.1,0.5125,0.602,0.3087
0.3,0.65,0.05,0.5125,0.603,0.4794
0.3,0.7,0.0,0.5,0.5943,0.6611
0.35,0.0,0.65,0.525,0.6051,0.15
0.35,0.05,0.6,0.5125,0.5984,0.15
0.35,0.1,0.55,0.5125,0.5984,0.1506
0.35,0.15,0.5,0.5125,0.5985,0.1506
0.35,0.2,0.45,0.5125,0.5985,0.1512
0.35,0.25,0.4,0.5125,0.5985,0.1512
0.35,0.3,0.35,0.5125,0.5987,0.1516
0.35,0.35,0.3,0.5125,0.5988,0.1516
0.35,0.4,0.25,0.5125,0.5989,0.1512
0.35,0.45,0.2,0.5125,0.5987,0.1697
0.35,0.5,0.15,0.5125,0.5989,0.2228
0.35,0.55,0.1,0.5125,0.5993,0.3541
0.35,0.6,0.05,0.5125,0.5993,0.5062
0.35,0.65,0.0,0.5125,0.5999,0.6602
0.4,0.0,0.6,0.525,0.6051,0.1506
0.4,0.05,0.55,0.5125,0.5984,0.1506
0.4,0.1,0.5,0.5125,0.5984,0.1512
0.4,0.15,0.45,0.5125,0.5984,0.1512
0.4,0.2,0.4,0.5125,0.5985,0.1516
0.4,0.25,0.35,0.5125,0.5985,0.1516
0.4,0.3,0.3,0.5125,0.5985,0.1512
0.4,0.35,0.25,0.5125,0.5987,0.1581
0.4,0.4,0.2,0.5125,0.5988,0.1844
0.4,0.45,0.15,0.5125,0.5988,0.2722
0.4,0.5,0.1,0.5125,0.5987,0.3888
0.4,0.55,0.05,0.5125,0.5989,0.5256
0.4,0.6,0.0,0.5125,0.5983,0.6602
0.45,0.0,0.55,0.525,0.6051,0.1512
0.45,0.05,0.5,0.5125,0.5984,0.1516
0.45,0.1,0.45,0.5125,0.5984,0.1516
0.45,0.15,0.4,0.5125,0.5984,0.1516
0.45,0.2,0.35,0.5125,0.5985,0.1516
0.45,0.25,0.3,0.5125,0.5985,0.1519
0.45,0.3,0.25,0.5125,0.5985,0.1731
0.45,0.35,0.2,0.5125,0.5985,0.2122
0.45,0.4,0.15,0.5125,0.5988,0.3084
0.45,0.45,0.1,0.5125,0.5988,0.4184
0.45,0.5,0.05,0.5125,0.5988,0.5394
0.45,0.55,0.0,0.5125,0.5987,0.6598
0.5,0.0,0.5,0.525,0.6051,0.1516
0.5,0.05,0.45,0.5125,0.5984,0.1516
0.5,0.1,0.4,0.5125,0.5984,0.1516
0.5,0.15,0.35,0.5125,0.5984,0.1512
0.5,0.2,0.3,0.5125,0.5985,0.1634
0.5,0.25,0.25,0.5125,0.5985,0.1844
0.5,0.3,0.2,0.5125,0.5985,0.2497
0.5,0.35,0.15,0.5125,0.5985,0.3391
0.5,0.4,0.1,0.5125,0.5985,0.4434
0.5,0.45,0.05,0.5125,0.5988,0.5528
0.5,0.5,0.0,0.5125,0.5988,0.6598
0.55,0.0,0.45,0.525,0.6051,0.1516
0.55,0.05,0.4,0.5125,0.5984,0.1509
0.55,0.1,0.35,0.5125,0.5984,0.1559
0.55,0.15,0.3,0.5125,0.5984,0.175
0.55,0.2,0.25,0.5125,0.5984,0.2041
0.55,0.25,0.2,0.5125,0.5985,0.2806
0.55,0.3,0.15,0.5125,0.5985,0.3669
0.55,0.35,0.1,0.5125,0.5985,0.4597
0.55,0.4,0.05,0.5125,0.5985,0.5622
0.55,0.45,0.0,0.5125,0.5987,0.6589
0.6,0.0,0.4,0.525,0.6051,0.1519
0.6,0.05,0.35,0.5125,0.5984,0.1684
0.6,0.1,0.3,0.5125,0.5984,0.185
0.6,0.15,0.25,0.5125,0.5984,0.2344
0.6,0.2,0.2,0.5125,0.5984,0.3084
0.6,0.25,0.15,0.5125,0.5985,0.3878
0.6,0.3,0.1,0.5125,0.5985,0.4781
0.6,0.35,0.05,0.5125,0.5985,0.5687
0.6,0.4,0.0,0.5125,0.5985,0.6586
0.65,0.0,0.35,0.525,0.6051,0.1769
0.65,0.05,0.3,0.5125,0.5984,0.2003
0.65,0.1,0.25,0.5125,0.5984,0.2637
0.65,0.15,0.2,0.5125,0.5984,0.3334
0.65,0.2,0.15,0.5125,0.5984,0.4062
0.65,0.25,0.1,0.5125,0.5984,0.4938
0.65,0.3,0.05,0.5125,0.5985,0.575
0.65,0.35,0.0,0.5125,0.5985,0.6586
0.7,0.0,0.3,0.525,0.6051,0.2228
0.7,0.05,0.25,0.5125,0.5984,0.2863
0.7,0.1,0.2,0.5125,0.5984,0.3531
0.7,0.15,0.15,0.5125,0.5984,0.425
0.7,0.2,0.1,0.5125,0.5984,0.5066
0.7,0.25,0.05,0.5125,0.5984,0.5822
0.7,0.3,0.0,0.5125,0.5985,0.6586
0.75,0.0,0.25,0.525,0.6051,0.3084
0.75,0.05,0.2,0.5125,0.5984,0.3725
0.75,0.1,0.15,0.5125,0.5984,0.4419
0.75,0.15,0.1,0.5125,0.5984,0.5175
0.75,0.2,0.05,0.5125,0.5984,0.5866
0.75,0.25,0.0,0.5125,0.5984,0.6586
0.8,0.0,0.2,0.525,0.6051,0.3878
0.8,0.05,0.15,0.5125,0.5984,0.4522
0.8,0.1,0.1,0.5125,0.5984,0.5253
0.8,0.15,0.05,0.5125,0.5984,0.5887
0.8,0.2,0.0,0.5125,0.5984,0.6589
0.85,0.0,0.15,0.525,0.6051,0.4659
0.85,0.05,0.1,0.5125,0.5984,0.5319
0.85,0.1,0.05,0.5125,0.5984,0.5934
0.85,0.15,0.0,0.5125,0.5984,0.6589
0.9,0.0,0.1,0.525,0.6051,0.5381
0.9,0.05,0.05,0.5125,0.5984,0.5962
0.9,0.1,0.0,0.5125,0.5984,0.6589
0.95,0.0,0.05,0.525,0.6051,0.5981
0.95,0.05,0.0,0.5125,0.5984,0.6589
1.0,0.0,0.0,0.525,0.6051,0.6584
