w_text,w_layout,w_pii,recall_at_1,mrr,detection_auc
0.3,0.4,0.3,0.5,0.5904,0.1462
0.3,0.45,0.25,0.5125,0.5943,0.1466
0.3,0.5,0.2,0.5125,0.5943,0.1472
0.3,0.55,0.15,0.5125,0.5939,0.1491
0.3,0.6,0.1,0.5125,0.5943,0.1848
0.3,0.65,0.05,0.5125,0.5946,0.3397
0.3,0.7,0.0,0.5,0.5837,0.5862
0.35,0.0,0.65,0.4875,0.5872,0.1434
0.35,0.05,0.6,0.4875,0.5864,0.1437
0.35,0.1,0.55,0.4875,0.5876,0.145
0.35,0.15,0.5,0.5,0.5926,0.1445
0.35,0.2,0.45,0.5,0.5933,0.145
0.35,0.25,0.4,0.5,0.5913,0.1453
0.35,0.3,0.35,0.5,0.5916,0.1462
0.35,0.35,0.3,0.5,0.5908,0.1462
0.35,0.4,0.25,0.5,0.5909,0.1466
0.35,0.45,0.2,0.5,0.5908,0.1475
0.35,0.5,0.15,0.5125,0.5946,0.1584
0.35,0.55,0.1,0.5125,0.5943,0.2219
0.35,0.6,0.05,0.5125,0.5941,0.3756
0.35,0.65,0.0,0.5,0.5854,0.5869
0.4,0.0,0.6,0.4875,0.5872,0.1447
0.4,0.05,0.55,0.4875,0.5867,0.1447
0.4,0.1,0.5,0.4875,0.5876,0.145
0.4,0.15,0.45,0.4875,0.5869,0.1459
0.4,0.2,0.4,0.5,0.5929,0.1459
0.4,0.25,0.35,0.5,0.5923,0.1459
0.4,0.3,0.3,0.5,0.5913,0.1466
0.4,0.35,0.25,0.5,0.5916,0.1472
0.4,0.4,0.2,0.5,0.5909,0.1491
0.4,0.45,0.15,0.5,0.5909,0.1691
0.4,0.5,0.1,0.5,0.5908,0.2597
0.4,0.55,0.05,0.5125,0.5946,0.4098
0.4,0.6,0.0,0.5,0.5859,0.5866
0.45,0.0,0.55,0.4875,0.5872,0.145
0.45,0.05,0.5,0.4875,0.5867,0.1459
0.45,0.1,0.45,0.4875,0.5875,0.1459
0.45,0.15,0.4,0.4875,0.5872,0.1459
0.45,0.2,0.35,0.5,0.5926,0.1459
0.45,0.25,0.3,0.5,0.5933,0.1466
0.45,0.3,0.25,0.5,0.5913,0.1472
0.45,0.35,0.2,0.5,0.5914,0.1563
0.45,0.4,0.15,0.5,0.5916,0.1834
0.45,0.45,0.1,0.5,0.5908,0.2834
0.45,0.5,0.05,0.5,0.5909,0.4305
0.45,0.55,0.0,0.4875,0.5825,0.5866
0.5,0.0,0.5,0.4875,0.5872,0.1459
0.5,0.05,0.45,0.4875,0.587,0.1459
0.5,0.1,0.4,0.4875,0.5875,0.1459
0.5,0.15,0.35,0.4875,0.5876,0.1466
0.5,0.2,0.3,0.5,0.5928,0.1472
0.5,0.25,0.25,0.5,0.5929,0.1487
0.5,0.3,0.2,0.5,0.5934,0.1634
0.5,0.35,0.15,0.5,0.5913,0.2069
0.5,0.4,0.1,0.5,0.5915,0.3019
0.5,0.45,0.05,0.5,0.5914,0.4525
0.5,0.5,0.0,0.4875,0.5826,0.5853
0.55,0.0,0.45,0.4875,0.5872,0.1459
0.55,0.05,0.4,0.4875,0.587,0.1466
0.55,0.1,0.35,0.4875,0.5875,0.1469
0.55,0.15,0.3,0.4875,0.5876,0.1472
0.55,0.2,0.25,0.4875,0.5869,0.1534
0.55,0.25,0.2,0.5,0.5928,0.1719
0.55,0.3,0.15,0.5,0.5933,0.2331
0.55,0.35,0.1,0.5,0.5923,0.3194
0.55,0.4,0.05,0.5,0.5913,0.4634
0.55,0.45,0.0,0.4875,0.5831,0.5847
0.6,0.0,0.4,0.4875,0.5872,0.1466
0.6,0.05,0.35,0.4875,0.587,0.1472
0.6,0.1,0.3,0.4875,0.5875,0.1487
0.6,0.15,0.25,0.4875,0.5876,0.1603
0.6,0.2,0.2,0.4875,0.5872,0.1834
0.6,0.25,0.15,0.5,0.5928,0.2594
0.6,0.3,0.1,0.5,0.5929,0.3397
0.6,0.35,0.05,0.5,0.5933,0.4747
0.6,0.4,0.0,0.4875,0.5829,0.5853
0.65,0.0,0.35,0.4875,0.5872,0.1475
0.65,0.05,0.3,0.4875,0.5872,0.1522
0.65,0.1,0.25,0.4875,0.5864,0.1662
0.65,0.15,0.2,0.4875,0.5875,0.2012
0.65,0.2,0.15,0.4875,0.5873,0.2762
0.65,0.25,0.1,0.5,0.5931,0.36
0.65,0.3,0.05,0.5,0.5928,0.4831
0.65,0.35,0.0,0.4875,0.5851,0.5853
0.7,0.0,0.3,0.4875,0.5872,0.1572
0.7,0.05,0.25,0.4875,0.5872,0.1744
0.7,0.1,0.2,0.4875,0.5864,0.2209
0.7,0.15,0.15,0.4875,0.5875,0.2916
0.7,0.2,0.1,0.4875,0.5876,0.3756
0.7,0.25,0.05,0.4875,0.5872,0.4913
0.7,0.3,0.0,0.4875,0.5843,0.5859
0.75,0.0,0.25,0.4875,0.5872,0.1834
0.75,0.05,0.2,0.4875,0.5872,0.2416
0.75,0.1,0.15,0.4875,0.5864,0.3019
0.75,0.15,0.1,0.4875,0.5875,0.3922
0.75,0.2,0.05,0.4875,0.5876,0.4969
0.75,0.25,0.0,0.475,0.5788,0.5864
0.8,0.0,0.2,0.4875,0.5872,0.2594
0.8,0.05,0.15,0.4875,0.5872,0.3134
0.8,0.1,0.1,0.4875,0.5867,0.4077
0.8,0.15,0.05,0.4875,0.5875,0.5044
0.8,0.2,0.0,0.475,0.5792,0.5872
0.85,0.0,0.15,0.4875,0.5872,0.3253
0.85,0.05,0.1,0.4875,0.5872,0.4216
0.85,0.1,0.05,0.4875,0.5867,0.5091
0.85,0.15,0.0,0.475,0.5791,0.5875
0.9,0.0,0.1,0.4875,0.5872,0.4312
0.9,0.05,0.05,0.4875,0.5872,0.5116
0.9,0.1,0.0,0.475,0.5783,0.5877
0.95,0.0,0.05,0.4875,0.5872,0.5166
0.95,0.05,0.0,0.475,0.5789,0.5869
1.0,0.0,0.0,0.475,0.5789,0.587
